CODEST;CODASG;GRUASG;CODPRG
882143428;4792;5;14
882143428;9053;1;14
882143428;9054;1;14
882143428;9056;1;14
882143516;2346;1;14
882143516;2361;1;14
882143516;2761;1;14
882143516;4792;8;14
891100232;2691;1;10
891100706;4792;7;10
891100706;9043;1;10
891100706;9044;1;10
891100706;9045;1;10
891100989;2634;1;10
891100989;2648;2;10
891100989;2649;1;10
891100989;2651;10;10
891100989;2698;1;10
891100989;4792;6;10
891111581;9053;1;11
891111581;9054;1;11
891111581;9056;1;11
891111959;2480;1;11
891111959;2642;1;11
891111959;9043;1;11
891111959;9044;1;11
891111959;9045;1;11
891112156;2642;1;11
891112156;4736;2;11
891112156;4792;1;11
891112156;9053;1;11
891112156;9054;1;11
891112156;9056;1;11
891112277;2442;1;11
891112277;2480;1;11
891112277;2498;1;11
891112277;4792;4;11
891112293;2699;1;11
891112324;2491;1;11
891112324;2536;1;11
891112324;2538;2;11
891112324;2541;1;11
891112324;2642;1;11
891112373;2642;1;11
891112373;9053;1;11
891112373;9054;1;11
891112373;9056;1;11
891112494;2442;1;11
891112494;9053;1;11
891112494;9054;1;11
891112494;9056;1;11
891112605;2441;1;11
891112605;2480;1;11
891112605;2515;1;11
891112605;2536;1;11
891112605;2538;1;11
891112605;2642;1;11
891112605;4672;1;11
891112605;4792;4;11
891133706;2946;1;13
891133706;2952;1;13
891133706;4792;1;13
891133706;9040;1;13
891133706;9041;1;13
891133706;9042;1;13
891134065;2991;1;13
891134362;2991;1;13
891134491;2991;1;13
891134506;2991;1;13
891134596;2991;1;13
891144901;2336;1;14
891144901;2361;1;14
891144901;2366;1;14
891144901;9063;1;14
891144901;9064;1;14
891144901;9065;1;14
891145203;2334;1;14
891145203;2375;1;14
891145203;2761;1;14
891145203;4792;7;14
891145203;9053;1;14
891145203;9054;1;14
891145203;9056;1;14
891246136;3340;1;24
891246136;3581;1;24
891246425;3570;1;24
891246458;3370;1;24
891246546;3570;1;24
891246562;3370;1;24
891307109;5150;1;30
891327627;4255;1;32
891327627;4256;1;32
891327627;4298;1;32
891327789;4220;1;32
891327789;4270;1;32
891327789;4271;1;32
891327789;4290;1;32
892100047;1357;5;10
892100047;2647;2;10
892100047;2671;1;10
892100047;2694;1;10
892100047;2695;1;10
892100047;4656;2;10
892100135;2691;1;10
892100289;2699;1;10
892100311;2691;1;10
892100311;4792;1;10
892100762;2691;1;10
892100826;2691;1;10
892110916;9053;1;11
892110916;9054;1;11
892110916;9056;1;11
892110973;2417;8;11
892110973;2440;2;11
892110973;2532;1;11
892110973;2558;1;11
892110973;4656;2;11
892110973;4792;8;11
892111017;9053;1;11
892111017;9054;1;11
892111017;9056;1;11
892111058;2441;1;11
892111058;2480;1;11
892111058;2490;1;11
892111058;2536;1;11
892111058;2538;1;11
892111058;2541;1;11
892111058;4656;3;11
892111058;4972;4;11
892111105;2441;1;11
892111105;9063;1;11
892111105;9064;1;11
892111105;9065;1;11
892111226;2442;1;11
892111226;2536;1;11
892111226;2538;1;11
892111226;2541;1;11
892111226;9063;1;11
892111226;9064;1;11
892111226;9065;1;11
892111419;2636;4;11
892111419;9053;1;11
892111419;9054;1;11
892111419;9056;1;11
892111443;2441;1;11
892111443;9063;1;11
892111443;9064;1;11
892111443;9065;1;11
892111724;2442;1;11
892111724;9050;1;11
892111724;9051;1;11
892111724;9055;1;11
892122003;2758;1;12
892122003;2779;1;12
892122003;9040;1;12
892122003;9041;1;12
892122003;9042;1;12
892132142;2670;3;13
892132142;2942;1;13
892132142;2946;1;13
892132142;2948;1;13
892132142;2956;1;13
892132142;4735;3;13
892132142;4792;8;13
892132913;2991;1;13
892143016;2334;1;14
892143016;2375;1;14
892143016;4792;5;14
892143016;9040;1;14
892143016;9041;1;14
892143016;9042;1;14
892143065;2375;1;14
892143065;2761;1;14
892143065;4792;7;14
892143065;9053;1;14
892143065;9054;1;14
892143065;9056;1;14
892143241;2699;1;14
892243911;3360;1;24
892243911;3522;1;24
892244037;3370;1;24
892244037;3581;1;24
892244045;3370;1;24
892244061;3338;1;24
892244061;3341;1;24
892244061;3559;1;24
892244061;3581;1;24
892244078;3340;1;24
892244078;3581;1;24
892244133;3370;1;24
892244133;3581;1;24
892244174;3570;1;24
892244174;3581;1;24
892244221;3370;1;24
892244375;3370;1;24
892244375;3581;1;24
892244391;3370;1;24
892244447;3370;1;24
892244527;3570;1;24
892244527;3581;1;24
892244631;3570;1;24
892244656;3370;1;24
892244672;3570;1;24
892244689;3570;1;24
892244689;3581;1;24
892244711;3370;1;24
892244832;3570;1;24
892244832;3581;1;24
892244881;3370;1;24
892325079;4298;1;32
892505781;1325;2;50
892505781;1364;3;50
892505781;1430;2;50
892505781;1432;1;50
892505781;1437;1;50
892505781;1438;1;50
892505781;1451;1;50
892505781;1467;1;50
892505966;1325;1;50
892505966;1430;1;50
892505966;1437;1;50
892505966;1481;1;50
892506155;1911;1;50
901306998;5136;1;30
901306998;5151;1;30
901306998;5168;1;30
901306998;5198;1;30
901306998;5235;1;30
901306998;5239;1;30
901306998;5243;1;30
901306998;5253;1;30
902100051;2699;1;10
902100131;2634;1;10
902100131;2648;2;10
902100131;2649;1;10
902100131;9040;1;10
902100131;9041;1;10
902100131;9042;1;10
902100148;2634;2;10
902100148;2636;4;10
902100148;2638;1;10
902100148;2648;1;10
902100148;2649;2;10
902100148;2651;10;10
902100148;2670;2;10
902100148;2690;1;10
902100252;2636;2;10
902100252;2638;1;10
902100252;2647;1;10
902100252;2651;1;10
902100252;2652;3;10
902100252;2653;6;10
902100252;2671;1;10
902100252;4792;8;10
902100381;2417;3;10
902100381;2636;2;10
902100381;2638;1;10
902100381;2647;3;10
902100381;2651;9;10
902100381;2671;1;10
902100381;4724;2;10
902100381;4792;2;10
902100429;2648;2;10
902100429;2649;1;10
902100429;2671;1;10
902100429;4792;1;10
902100429;9063;1;10
902100429;9064;1;10
902100429;9065;1;10
902100582;9053;1;10
902100582;9054;1;10
902100582;9056;1;10
902100599;4792;1;10
902100599;9053;1;10
902100599;9054;1;10
902100599;9056;1;10
902100621;2634;1;10
902100621;2636;1;10
902100621;2648;2;10
902100621;2649;1;10
902100621;2651;5;10
902100621;2695;1;10
902100621;2698;1;10
902100621;4736;1;10
902100638;2634;2;10
902100638;2638;2;10
902100638;4792;3;10
902100638;9040;1;10
902100638;9041;1;10
902100638;9042;1;10
902100679;1431;1;10
902100679;1447;2;10
902100679;2647;3;10
902100679;2658;1;10
902100679;2671;1;10
902100679;4972;2;10
902100734;2634;2;10
902100734;4792;6;10
902100734;9043;1;10
902100734;9044;1;10
902100734;9045;1;10
902100783;1461;3;10
902100783;2417;5;10
902100783;2434;5;10
902100783;2641;3;10
902100783;2647;3;10
902100783;2652;2;10
902100783;2653;5;10
902100783;2667;2;10
902100791;2699;1;10
902100806;2699;1;10
902100814;1431;2;10
902100814;2636;1;10
902100814;2648;1;10
902100814;2651;2;10
902100814;2670;2;10
902100814;2694;1;10
902100814;4656;1;10
902100847;9053;1;10
902100847;9054;1;10
902100847;9056;1;10
902100896;2636;4;10
902100896;2648;3;10
902100896;2651;7;10
902100896;2652;1;10
902100896;2653;2;10
902100896;2690;1;10
902100896;2695;1;10
902100896;4735;2;10
902110326;2442;1;11
902110326;2480;1;11
902110326;2536;1;11
902110326;2538;2;11
902110326;4724;2;11
902110326;9063;1;11
902110326;9064;1;11
902110326;9065;1;11
902110519;2491;1;11
902110519;2565;1;11
902110576;2491;1;11
902110744;2322;2;11
902110744;2417;6;11
902110744;2440;1;11
902110744;2470;1;11
902110744;2525;1;11
902110744;2532;1;11
902110744;2658;3;11
902110744;4792;8;11
902120039;2716;1;12
902120039;2743;1;12
902120039;2775;1;12
902120039;2871;1;12
902120039;2873;1;12
902130137;2954;1;13
902130137;2991;1;13
902130137;4735;2;13
902130153;2699;1;13
902130362;2991;1;13
902130387;2952;1;13
902130387;9043;1;13
902130387;9044;1;13
902130387;9045;1;13
902130418;2699;1;13
902130426;2934;1;13
902130426;2954;1;13
902130426;2991;1;13
902130426;4735;2;13
902130426;4973;3;13
902130434;2942;1;13
902130434;2946;1;13
902130434;2998;1;13
902130434;4735;2;13
902130434;4792;8;13
902130442;2699;1;13
902130467;1418;5;13
902130467;2954;1;13
902130467;4735;3;13
902130467;4792;3;13
902130467;9043;1;13
902130467;9044;1;13
902130467;9045;1;13
902130491;1418;5;13
902130491;2670;1;13
902130491;2934;1;13
902130491;2954;1;13
902130491;2983;1;13
902130491;2990;1;13
902130491;4735;1;13
902130514;2903;1;13
902130514;2934;1;13
902130514;2952;1;13
902130514;2954;1;13
902130514;2983;1;13
902130514;2991;1;13
902130756;2934;1;13
902130756;2946;1;13
902130756;4673;1;13
902130756;9043;1;13
902130756;9044;1;13
902130756;9045;1;13
902130789;2983;1;13
902130789;2991;1;13
902130844;2658;4;13
902130844;2670;3;13
902130844;2934;1;13
902130844;2946;1;13
902130844;2956;1;13
902130844;2998;1;13
902130844;4792;6;13
902130877;2991;1;13
902140026;2699;1;14
902240021;3370;1;24
902240021;3581;1;24
902240054;3338;1;24
902240054;3341;1;24
902240054;3559;1;24
902240054;3581;1;24
902240062;3370;1;24
902240079;3340;1;24
902240079;3581;1;24
902240118;3370;1;24
902240118;3581;1;24
902240134;3370;1;24
902240167;3370;1;24
902240191;3370;1;24
902240206;3370;1;24
902240214;3370;1;24
902240239;3370;1;24
902240247;3360;1;24
902240247;3522;1;24
902240255;3370;1;24
902240263;3338;1;24
902240263;3341;1;24
902240263;3559;1;24
902240263;3581;1;24
902240288;3370;1;24
902240296;3338;1;24
902240296;3341;1;24
902240296;3559;1;24
902240296;3581;1;24
902240327;3370;1;24
902240343;3570;1;24
902240343;3581;1;24
902240351;3370;1;24
902240368;3370;1;24
902240376;3340;1;24
902240376;3581;1;24
902240384;3340;1;24
902240384;3581;1;24
902240392;3370;1;24
902240392;3581;1;24
902240407;3338;1;24
902240407;3341;1;24
902240407;3559;1;24
902240407;3581;1;24
902240423;3338;1;24
902240423;3341;1;24
902240423;3559;1;24
902240423;3581;1;24
902240431;3360;1;24
902240431;3522;1;24
902240464;3360;1;24
902240464;3522;1;24
902240472;3570;1;24
902240489;3370;1;24
902240544;3360;1;24
902240544;3522;1;24
902240552;3122;1;24
902240552;3350;1;24
902240552;3558;1;24
902240585;3370;1;24
902240608;3370;1;24
902240624;3370;1;24
902240624;3581;1;24
902240649;3340;1;24
902240649;3581;1;24
902240657;3338;1;24
902240657;3341;1;24
902240657;3559;1;24
902240657;3581;1;24
902240665;3370;1;24
902240681;3370;1;24
902240704;3338;1;24
902240704;3341;1;24
902240704;3559;1;24
902240704;3581;1;24
902240729;3370;1;24
902240745;3370;1;24
902240745;3581;1;24
902240778;3370;1;24
902240786;3370;1;24
902240786;3581;1;24
902240817;3340;1;24
902240817;3581;1;24
902240841;3370;1;24
902240905;3370;1;24
902240962;3338;1;24
902240962;3341;1;24
902240962;3559;1;24
902240962;3581;1;24
902240979;3370;1;24
902240995;3370;1;24
902320296;4298;1;32
902500154;1910;1;50
902500187;1430;1;50
902500187;1481;1;50
902500187;1911;1;50
902500226;1430;2;50
902500226;1481;1;50
902500226;1911;1;50
902500283;1325;3;50
902500283;1436;2;50
902500283;1437;1;50
902500283;1451;2;50
902500283;1466;2;50
902500283;1470;1;50
902500291;1911;1;50
902500339;1911;1;50
902500396;1325;1;50
902500396;1481;1;50
902500396;1911;1;50
902500716;1325;3;50
902500716;1430;2;50
902500716;1432;1;50
902500716;1437;3;50
902500716;1438;1;50
902500716;1451;2;50
902500716;1467;1;50
902500716;1481;1;50
902500732;1364;2;50
902500732;1436;3;50
902500732;1463;3;50
902500732;1466;2;50
902500732;1468;3;50
902500732;4792;2;50
911100034;2417;8;10
911100034;2434;3;10
911100034;2670;2;10
911100034;2671;1;10
911100034;4672;3;10
911100083;2634;2;10
911100083;2648;1;10
911100083;2649;2;10
911100083;2698;1;10
911100083;4792;6;10
911100106;2634;2;10
911100106;2638;1;10
911100106;2649;1;10
911100106;4724;2;10
911100106;9053;1;10
911100106;9054;1;10
911100106;9056;1;10
911100122;2636;3;10
911100122;2638;1;10
911100122;2648;2;10
911100122;2649;2;10
911100122;2651;1;10
911100122;2652;3;10
911100122;2653;4;10
911100147;2634;1;10
911100147;2648;2;10
911100147;2649;1;10
911100147;9040;1;10
911100147;9041;1;10
911100147;9042;1;10
911100188;2634;1;10
911100188;2648;2;10
911100188;2649;1;10
911100188;2695;1;10
911100188;2698;1;10
911100188;4736;1;10
911100188;4792;1;10
911100202;2634;2;10
911100202;2648;3;10
911100202;2649;1;10
911100202;9040;1;10
911100202;9041;1;10
911100202;9042;1;10
911100219;2634;1;10
911100219;2636;2;10
911100219;2638;1;10
911100219;2648;2;10
911100219;2649;1;10
911100219;2651;9;10
911100219;2698;1;10
911100219;4656;2;10
911100235;9053;1;10
911100235;9054;1;10
911100235;9056;1;10
911100243;1431;2;10
911100243;2647;3;10
911100243;2652;3;10
911100243;2653;4;10
911100243;2670;1;10
911100243;2671;1;10
911100243;4974;1;10
911100251;2691;1;10
911100276;2648;2;10
911100276;2649;1;10
911100276;9043;1;10
911100276;9044;1;10
911100276;9045;1;10
911100284;2699;1;10
911100292;2636;2;10
911100292;2648;3;10
911100292;2651;9;10
911100292;2652;3;10
911100292;2653;6;10
911100292;2671;1;10
911100292;4735;2;10
911100315;2634;1;10
911100315;2636;1;10
911100315;2648;1;10
911100315;2649;1;10
911100315;2651;4;10
911100315;2698;1;10
911100323;2699;1;10
911100348;2638;2;10
911100348;4736;2;10
911100348;9050;1;10
911100348;9051;1;10
911100348;9055;1;10
911100364;2699;1;10
911100372;2634;1;10
911100372;2636;2;10
911100372;2648;3;10
911100372;2649;1;10
911100372;2651;9;10
911100372;2698;1;10
911100372;4792;1;10
911100389;2699;1;10
911100403;2634;1;10
911100403;2648;2;10
911100403;2649;1;10
911100403;2698;1;10
911100403;4792;6;10
911100508;2638;2;10
911100508;2648;2;10
911100508;2651;1;10
911100508;9050;1;10
911100508;9051;1;10
911100508;9055;1;10
911100532;2699;1;10
911100573;2699;1;10
911100581;2699;1;10
911100604;2634;1;10
911100604;2648;2;10
911100604;2649;1;10
911100604;2698;1;10
911100661;2699;1;10
911100733;2699;1;10
911100741;2634;1;10
911100741;2636;2;10
911100741;2638;1;10
911100741;2648;2;10
911100741;2649;1;10
911100741;2651;9;10
911100741;2698;1;10
911100741;4656;2;10
911100741;4792;2;10
911100758;2638;2;10
911100758;4736;2;10
911100758;9050;1;10
911100758;9051;1;10
911100758;9055;1;10
911100766;2417;4;10
911100766;2636;3;10
911100766;2641;2;10
911100766;2647;2;10
911100766;2652;3;10
911100766;2667;2;10
911100766;2671;1;10
911100782;2634;1;10
911100782;2648;2;10
911100782;2649;1;10
911100782;2698;1;10
911100782;4792;6;10
911100821;1431;2;10
911100821;1461;3;10
911100821;2417;1;10
911100821;2647;1;10
911100821;2652;2;10
911100821;2653;5;10
911100821;2658;3;10
911100821;2670;2;10
911100846;2634;1;10
911100846;2638;1;10
911100846;2649;1;10
911100846;4735;1;10
911100846;4736;2;10
911100846;9053;1;10
911100846;9054;1;10
911100846;9056;1;10
911100854;2651;5;10
911100854;2671;1;10
911100854;9050;1;10
911100854;9051;1;10
911100854;9055;1;10
911100934;2634;1;10
911100934;2648;2;10
911100934;2649;1;10
911100934;2698;1;10
911100934;4792;6;10
911100975;2417;8;10
911100975;2630;1;10
911100975;2631;5;10
911100975;2636;1;10
911100975;2651;5;10
911100975;2652;3;10
911100975;2653;8;10
911100975;2670;2;10
911100975;4656;2;10
911101277;2699;1;10
911101525;2634;2;10
911101525;2638;1;10
911101525;2648;1;10
911101525;2670;2;10
911101525;2671;1;10
911101525;4656;1;10
911110028;2441;1;11
911110028;2480;1;11
911110028;2536;1;11
911110028;2538;2;11
911110028;2541;1;11
911110028;2565;1;11
911110028;2642;1;11
911110052;2699;1;11
911110069;2441;1;11
911110069;2480;1;11
911110069;2642;1;11
911110069;4724;2;11
911110069;4792;4;11
911110108;2442;1;11
911110108;2480;1;11
911110108;2498;1;11
911110116;2442;1;11
911110116;2480;1;11
911110116;2498;1;11
911110116;2538;2;11
911110116;2642;1;11
911110116;4792;4;11
911110124;2480;1;11
911110124;2642;1;11
911110124;4792;7;11
911110124;9043;1;11
911110124;9044;1;11
911110124;9045;1;11
911110132;2480;1;11
911110132;2498;1;11
911110132;2536;1;11
911110132;2538;2;11
911110132;2541;1;11
911110132;4792;4;11
911110149;2441;1;11
911110149;2480;1;11
911110149;2515;1;11
911110149;2532;1;11
911110149;2558;1;11
911110149;4655;1;11
911110149;4792;8;11
911110165;2441;1;11
911110165;2480;1;11
911110165;2515;1;11
911110165;2532;1;11
911110165;2558;1;11
911110165;4792;8;11
911110204;2441;1;11
911110204;2480;1;11
911110204;2536;1;11
911110204;2538;1;11
911110204;2541;1;11
911110204;2642;1;11
911110204;4655;1;11
911110229;2442;1;11
911110229;2480;1;11
911110229;2498;1;11
911110229;2536;1;11
911110229;2538;2;11
911110229;2541;1;11
911110229;2642;1;11
911110229;4792;1;11
911110237;2442;1;11
911110237;2480;1;11
911110237;2498;1;11
911110237;2536;1;11
911110237;2538;2;11
911110237;2541;1;11
911110237;2642;1;11
911110237;4655;2;11
911110261;2699;1;11
911110358;2442;1;11
911110358;2480;1;11
911110358;2498;1;11
911110358;2536;1;11
911110358;2538;2;11
911110358;2541;1;11
911110358;2565;1;11
911110358;2642;1;11
911110358;4792;4;11
911110366;2442;1;11
911110366;9040;1;11
911110366;9041;1;11
911110366;9042;1;11
911110374;2699;1;11
911110399;2699;1;11
911110405;2491;1;11
911110405;2538;2;11
911110405;2565;1;11
911110405;4735;2;11
911110413;2442;1;11
911110413;2480;1;11
911110413;9063;1;11
911110413;9064;1;11
911110413;9065;1;11
911110421;2699;1;11
911110501;2442;1;11
911110501;2490;1;11
911110501;2565;1;11
911110501;2630;1;11
911110591;2441;1;11
911110591;2515;1;11
911110591;2532;1;11
911110591;2558;1;11
911110591;2658;4;11
911110591;4972;3;11
911110622;2541;1;11
911110622;2565;1;11
911110622;2642;1;11
911110622;4792;4;11
911110622;9053;1;11
911110622;9054;1;11
911110622;9056;1;11
911110639;2442;1;11
911110639;2480;1;11
911110639;2498;1;11
911110639;4792;4;11
911110655;2536;1;11
911110655;2538;2;11
911110655;2541;1;11
911110655;2565;1;11
911110655;9063;1;11
911110655;9064;1;11
911110655;9065;1;11
911110671;2322;3;11
911110671;2441;1;11
911110671;2480;1;11
911110671;2490;1;11
911110671;2536;1;11
911110671;2538;1;11
911110671;2541;1;11
911110671;2565;1;11
911110671;4656;3;11
911110719;2442;1;11
911110719;9040;1;11
911110719;9041;1;11
911110719;9042;1;11
911110735;2480;1;11
911110735;2541;1;11
911110735;2642;1;11
911110735;4735;1;11
911110735;4792;4;11
911110735;9043;1;11
911110735;9044;1;11
911110735;9045;1;11
911110743;2442;1;11
911110743;2480;1;11
911110743;2498;1;11
911110936;2441;1;11
911110936;2515;1;11
911110936;2532;1;11
911110936;2558;1;11
911110936;2658;3;11
911110936;4656;1;11
911110952;2642;1;11
911110952;4656;2;11
911110952;4724;1;11
911110952;4792;8;11
911110952;9053;1;11
911110952;9054;1;11
911110952;9056;1;11
911111133;2322;2;11
911111133;2440;1;11
911111133;2470;1;11
911111133;2511;4;11
911111133;2525;1;11
911111133;2526;3;11
911111133;2531;1;11
911120087;2758;1;12
911120087;2791;1;12
911120087;2872;1;12
911120087;2873;1;12
911120134;2758;1;12
911120134;2770;1;12
911120134;2775;1;12
911120134;2791;1;12
911120134;2873;1;12
911120134;4792;6;12
911120142;2745;1;12
911120142;2758;1;12
911120142;2761;1;12
911120142;2790;1;12
911120142;4792;7;12
911120214;2747;1;12
911120214;2758;1;12
911120214;2761;1;12
911120214;2779;1;12
911120214;9053;1;12
911120214;9054;1;12
911120214;9056;1;12
911120288;2758;1;12
911120288;2873;1;12
911120288;4792;2;12
911120288;9050;1;12
911120288;9051;1;12
911120288;9055;1;12
911120335;9053;1;12
911120335;9054;1;12
911120335;9056;1;12
911120368;2716;1;12
911120368;2745;1;12
911120368;2757;1;12
911120368;2770;1;12
911120368;2871;1;12
911120368;2873;1;12
911120368;4792;1;12
911120415;2699;1;12
911120415;2790;1;12
911120423;2716;1;12
911120423;2757;1;12
911120423;2770;1;12
911120423;2775;1;12
911120423;2779;1;12
911120423;2871;1;12
911120761;4792;6;12
911120761;9043;1;12
911120761;9045;1;12
911120761;9046;1;12
911120794;2758;1;12
911120794;2770;1;12
911120794;2775;1;12
911120794;2779;1;12
911120794;2872;1;12
911120794;4735;3;12
911130072;1418;2;13
911130072;2344;2;13
911130072;2667;4;13
911130072;2942;1;13
911130072;2948;1;13
911130072;4656;2;13
911130072;4792;4;13
911130089;2934;1;13
911130089;2952;1;13
911130089;2954;1;13
911130089;4735;3;13
911130097;9043;1;13
911130097;9044;1;13
911130097;9045;1;13
911130111;2991;1;13
911130128;1461;2;13
911130128;2344;1;13
911130128;2942;1;13
911130128;2946;1;13
911130128;2948;1;13
911130128;2951;1;13
911130128;4973;3;13
911130136;1418;5;13
911130136;2934;1;13
911130136;4735;3;13
911130136;4792;3;13
911130136;9043;1;13
911130136;9044;1;13
911130136;9045;1;13
911130152;2699;1;13
911130193;2934;1;13
911130193;2952;1;13
911130193;2954;1;13
911130193;9043;1;13
911130193;9044;1;13
911130193;9045;1;13
911130216;2699;1;13
911130232;2934;1;13
911130232;2952;1;13
911130232;2954;1;13
911130232;2998;1;13
911130232;4735;2;13
911130232;4792;7;13
911130298;2699;1;13
911130345;2934;1;13
911130345;2952;1;13
911130345;2954;1;13
911130345;2998;1;13
911130345;4792;1;13
911130361;2934;1;13
911130361;2952;1;13
911130361;2954;1;13
911130361;2998;1;13
911130361;4656;1;13
911130361;4724;1;13
911130361;4792;8;13
911130441;1418;5;13
911130441;2934;1;13
911130441;2954;1;13
911130441;4735;3;13
911130441;4792;3;13
911130441;9043;1;13
911130441;9044;1;13
911130441;9045;1;13
911130458;2699;1;13
911130466;2991;1;13
911130499;2934;1;13
911130499;4792;7;13
911130595;2699;1;13
911130618;2952;1;13
911130618;2991;1;13
911130626;2699;1;13
911130667;2934;1;13
911130667;2998;1;13
911130667;4673;1;13
911130706;2699;1;13
911130714;2934;1;13
911130714;2952;1;13
911130714;2954;1;13
911130714;2991;1;13
911130714;4735;3;13
911130714;4792;7;13
911130739;2699;1;13
911130788;2344;1;13
911130788;2670;3;13
911130788;2934;1;13
911130788;2998;1;13
911130788;4724;1;13
911130788;4792;1;13
911130802;1321;1;13
911130802;2934;1;13
911130802;2948;1;13
911130802;2952;1;13
911130802;2954;1;13
911130802;4724;1;13
911130868;2934;1;13
911130868;2952;1;13
911130868;2954;1;13
911130868;2998;1;13
911130868;4792;7;13
911130907;2934;1;13
911130907;2952;1;13
911130907;2954;1;13
911130907;2998;1;13
911130907;4792;7;13
911140017;2334;1;14
911140017;2375;1;14
911140017;2384;1;14
911140017;4792;2;14
911140025;2385;1;14
911140066;2699;1;14
911140105;2334;1;14
911140105;2375;1;14
911140105;2385;1;14
911140105;2636;1;14
911140105;2641;2;14
911140105;2761;1;14
911140105;4792;5;14
911140113;2334;1;14
911140113;2336;1;14
911140113;2366;1;14
911140113;2375;1;14
911140113;2384;1;14
911140113;4792;6;14
911140121;2385;1;14
911140138;2332;1;14
911140138;2335;1;14
911140138;2341;1;14
911140138;2636;3;14
911140138;4673;1;14
911140138;4735;1;14
911140162;2385;1;14
911140162;2641;2;14
911140226;2391;1;14
911140226;2761;1;14
911140242;2699;1;14
911140275;2332;1;14
911140275;2341;1;14
911140275;2641;2;14
911140275;2761;1;14
911140275;4736;1;14
911140275;4792;3;14
911140314;2334;1;14
911140314;2366;1;14
911140314;4792;6;14
911140314;9043;1;14
911140314;9045;1;14
911140314;9046;1;14
911140402;2699;1;14
911140427;2334;1;14
911140427;2375;1;14
911140427;2761;1;14
911140427;9050;1;14
911140427;9051;1;14
911140427;9055;1;14
911140492;2699;1;14
911140507;2334;1;14
911140507;4792;7;14
911140507;9050;1;14
911140507;9051;1;14
911140507;9055;1;14
911140515;2346;1;14
911140515;2641;1;14
911140515;2761;1;14
911140515;9063;1;14
911140515;9064;1;14
911140515;9065;1;14
911140531;2699;1;14
911140556;2366;1;14
911140556;2636;3;14
911140556;2641;1;14
911140556;2761;1;14
911140556;4792;5;14
911140611;2339;1;14
911140611;2341;1;14
911140611;2346;1;14
911140611;4792;6;14
911140732;2385;1;14
911140732;2641;3;14
911140732;4792;5;14
911140837;2366;1;14
911140837;4792;6;14
911140837;9043;1;14
911140837;9045;1;14
911140837;9046;1;14
911240012;3338;1;24
911240012;3341;1;24
911240012;3559;1;24
911240012;3581;1;24
911240029;3338;1;24
911240029;3341;1;24
911240029;3559;1;24
911240029;3581;1;24
911240037;3360;1;24
911240037;3522;1;24
911240045;3338;1;24
911240045;3341;1;24
911240045;3559;1;24
911240045;3581;1;24
911240053;3340;1;24
911240053;3581;1;24
911240086;3340;1;24
911240086;3581;1;24
911240109;3338;1;24
911240109;3341;1;24
911240109;3559;1;24
911240109;3581;1;24
911240133;3338;1;24
911240133;3341;1;24
911240133;3559;1;24
911240133;3581;1;24
911240141;3338;1;24
911240141;3341;1;24
911240141;3559;1;24
911240141;3581;1;24
911240166;3122;1;24
911240166;3350;1;24
911240166;3558;1;24
911240182;3338;1;24
911240182;3341;1;24
911240182;3559;1;24
911240182;3581;1;24
911240199;3338;1;24
911240199;3341;1;24
911240199;3559;1;24
911240205;3338;1;24
911240205;3341;1;24
911240205;3559;1;24
911240205;3581;1;24
911240213;3338;1;24
911240213;3341;1;24
